Country;1980;1985;1990;2000;2005;2006;2007;2008;2009;2010;2011;2012;2013
Norway;0.793;0.814;0.841;0.91;0.935;0.938;0.938;0.937;0.937;0.939;0.941;0.943;0.944
Australia;0.841;0.853;0.866;0.898;0.912;0.915;0.918;0.922;0.924;0.926;0.928;0.931;0.933
Switzerland;0.806;0.813;0.829;0.886;0.901;0.905;0.905;0.903;0.909;0.915;0.914;0.916;0.917
Netherlands;0.783;0.796;0.826;0.874;0.888;0.895;0.901;0.901;0.9;0.904;0.914;0.915;0.915
United States;0.825;0.839;0.858;0.883;0.897;0.9;0.903;0.905;0.905;0.908;0.911;0.912;0.914
Germany;0.739;0.752;0.782;0.854;0.887;0.896;0.899;0.902;0.901;0.904;0.908;0.911;0.911
New Zealand;0.793;0.806;0.821;0.873;0.894;0.896;0.899;0.899;0.903;0.903;0.904;0.908;0.91
Canada;0.809;0.822;0.848;0.867;0.892;0.894;0.895;0.896;0.894;0.896;0.9;0.901;0.902
Singapore;;;0.744;0.8;0.84;0.852;0.862;0.868;0.868;0.894;0.896;0.899;0.901
Denmark;0.781;0.797;0.806;0.859;0.891;0.893;0.895;0.896;0.895;0.898;0.899;0.9;0.9
Ireland;0.734;0.751;0.775;0.862;0.89;0.895;0.901;0.902;0.898;0.899;0.9;0.901;0.899
Sweden;0.776;0.786;0.807;0.889;0.887;0.889;0.891;0.891;0.888;0.895;0.896;0.897;0.898
Iceland;0.754;0.776;0.8;0.858;0.888;0.89;0.894;0.886;0.885;0.886;0.89;0.893;0.895
United Kingdom;0.735;0.747;0.768;0.863;0.888;0.885;0.887;0.89;0.89;0.895;0.891;0.89;0.892
Korea (Republic of);0.628;0.681;0.731;0.819;0.856;0.862;0.869;0.874;0.876;0.882;0.886;0.888;0.891
Hong Kong, China (SAR);0.698;0.741;0.775;0.81;0.839;0.847;0.86;0.877;0.879;0.882;0.886;0.889;0.891
Japan;0.772;0.794;0.817;0.858;0.873;0.877;0.879;0.881;0.88;0.884;0.887;0.888;0.89
Liechtenstein;;;;;;;;;;0.882;0.887;0.888;0.889
Israel;0.749;0.771;0.785;0.849;0.869;0.872;0.877;0.877;0.878;0.881;0.885;0.886;0.888
France;0.722;0.741;0.779;0.848;0.867;0.87;0.873;0.875;0.876;0.879;0.882;0.884;0.884
Luxembourg;0.729;0.762;0.786;0.866;0.876;0.877;0.88;0.882;0.876;0.881;0.881;0.88;0.881
Belgium;0.753;0.773;0.805;0.873;0.865;0.868;0.871;0.873;0.873;0.877;0.88;0.88;0.881
Austria;0.736;0.754;0.786;0.835;0.851;0.857;0.861;0.868;0.87;0.877;0.879;0.88;0.881
Finland;0.752;0.771;0.792;0.841;0.869;0.874;0.877;0.878;0.873;0.877;0.879;0.879;0.879
Slovenia;;;0.769;0.821;0.855;0.861;0.865;0.871;0.875;0.873;0.874;0.874;0.874
Italy;0.718;0.735;0.763;0.825;0.858;0.863;0.867;0.868;0.866;0.869;0.872;0.872;0.872
Spain;0.702;0.724;0.755;0.826;0.844;0.848;0.852;0.857;0.858;0.864;0.868;0.869;0.869
Czech Republic;;;0.762;0.806;0.845;0.848;0.853;0.856;0.856;0.858;0.861;0.861;0.861
Greece;0.713;0.739;0.749;0.798;0.853;0.859;0.857;0.858;0.858;0.856;0.854;0.854;0.853
Brunei Darussalam;0.74;0.757;0.786;0.822;0.838;0.843;0.844;0.843;0.844;0.844;0.846;0.852;0.852
Qatar;0.729;0.753;0.756;0.811;0.84;0.846;0.852;0.855;0.85;0.847;0.843;0.85;0.851
Cyprus;0.661;0.696;0.726;0.8;0.828;0.832;0.838;0.844;0.852;0.848;0.85;0.848;0.845
Estonia;;;0.73;0.776;0.821;0.827;0.832;0.832;0.827;0.83;0.836;0.839;0.84
Saudi Arabia;0.583;0.623;0.662;0.744;0.773;0.779;0.784;0.791;0.802;0.815;0.825;0.833;0.836
Poland;0.687;0.694;0.714;0.784;0.803;0.808;0.812;0.817;0.82;0.826;0.83;0.833;0.834
Lithuania;;;0.737;0.757;0.806;0.814;0.82;0.827;0.833;0.829;0.828;0.831;0.834
Slovakia;;;0.747;0.776;0.803;0.81;0.817;0.824;0.826;0.826;0.827;0.829;0.83
Andorra;;;;;;;;;;0.832;0.831;0.83;0.83
Malta;0.704;0.717;0.73;0.77;0.801;0.801;0.802;0.809;0.818;0.821;0.823;0.827;0.829
United Arab Emirates;0.64;0.686;0.725;0.797;0.823;0.826;0.829;0.832;0.826;0.824;0.824;0.825;0.827
Portugal;0.643;0.674;0.708;0.78;0.79;0.794;0.8;0.805;0.809;0.816;0.819;0.822;0.822
Chile;0.64;0.664;0.704;0.753;0.785;0.784;0.792;0.805;0.804;0.808;0.815;0.819;0.822
Hungary;0.696;0.707;0.701;0.774;0.805;0.81;0.813;0.814;0.816;0.817;0.817;0.817;0.818
Cuba;0.681;0.714;0.729;0.742;0.786;0.806;0.822;0.83;0.832;0.824;0.819;0.813;0.815
Bahrain;0.677;0.718;0.729;0.784;0.811;0.808;0.809;0.81;0.811;0.812;0.812;0.813;0.815
Kuwait;0.702;0.739;0.723;0.804;0.795;0.795;0.797;0.8;0.804;0.807;0.81;0.813;0.814
Croatia;;;0.689;0.748;0.781;0.788;0.796;0.801;0.8;0.806;0.812;0.812;0.812
Latvia;;;0.71;0.729;0.786;0.796;0.804;0.813;0.814;0.809;0.804;0.808;0.81
Argentina;0.665;0.688;0.694;0.753;0.758;0.766;0.771;0.777;0.789;0.799;0.804;0.806;0.808
Uruguay;0.658;0.661;0.691;0.74;0.755;0.759;0.769;0.773;0.774;0.779;0.783;0.787;0.79
Montenegro;;;;;0.75;0.76;0.771;0.78;0.78;0.784;0.787;0.787;0.789
Bahamas;;;;0.766;0.787;0.789;0.791;0.791;0.788;0.788;0.789;0.788;0.789
Belarus;;;;;0.725;0.738;0.751;0.764;0.775;0.779;0.784;0.785;0.786
