Sending;Afghanistan;Albania;Algeria;American Samoa;Andorra;Angola;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas, The;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia;Bosnia and Herzegovina;Botswana;Brazil;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cambodia;Cameroon;Canada;Cape Verde;Cayman Islands;Central African Republic;Chad;Channel Islands;Chile;China;Colombia;Comoros;Congo, Dem. Rep.;Congo, Rep.;Costa Rica;Côte d'Ivoire;Croatia;Cuba;Cyprus;Czech Republic;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt, Arab Rep.;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Fiji;Finland;France;French Polynesia;Gabon;Gambia, The;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Honduras;Hong Kong SAR, China;Hungary;Iceland;India;Indonesia;Iran, Islamic Rep.;Iraq;Ireland;Isle of Man;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Korea, Dem. Rep.;Korea, Rep.;Kosovo;Kuwait;Kyrgyz Republic;Lao PDR;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Macao SAR, China;Macedonia, FYR;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Mauritania;Mauritius;Mayotte;Mexico;Micronesia, Fed. Sts.;Moldova;Monaco;Mongolia;Montenegro;Morocco;Mozambique;Myanmar;Namibia;Nepal;Netherlands;Netherlands Antilles;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Northern Mariana Islands;Norway;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto Rico;Qatar;Romania;Russian Federation;Rwanda;Samoa;San Marino;São Tomé and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Slovak Republic;Slovenia;Solomon Islands;Somalia;South Africa;Spain;Sri Lanka;St. Kitts and Nevis;St. Lucia;St. Vincent and the Grenadines;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syrian Arab Republic;Tajikistan;Tanzania;Thailand;Timor-Leste;Togo;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Tuvalu;Uganda;Ukraine;United Arab Emirates;United Kingdom;United States;Uruguay;Uzbekistan;Vanuatu;Venezuela, RB;Vietnam;Virgin Islands (U.S.);West Bank and Gaza;Yemen, Rep.;Zambia;Zimbabwe;Total
Afghanistan;0;0;0;;;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;;;;;0;0;0;;;;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;;0;0;0;;;0;0;0;0;;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;;;0;;;0;0;0;0;0;0;;;0;0;0;0;;0;0;0;0;0;;;0;;0;;0;;0;0;0;0;;0;0;0;;;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;;;0;0;0;0;;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;0;0;;0;0;0;;0;0;0;;;0;0;;0
Albania;0;0;0;;;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;;;;;0;0;0;;;;0;0;0;;0;5.584157467;0;0;0;0;0;0;0;;;0;0;;0;0;0;;;0;0;0;0;;39.50632095;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.126154482;0.147844702;0;0;0;0;0;;;0;;;0;0;0;0;0;0;;;0;0;0;4.835468292;;0;0;0;0;0;;;0;;0;;0;;0;0;0;0;;0;0;0;;;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;;;0;0.0229261;0;0;;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;0;0;;0;0;0;;0;0;0;;;0;0;;50.222872
Algeria;0;0;0;;;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;;;;;0;0;0;;;;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;;0;0;0;;;0;0;0;0;;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;;;0;;;0;0;0;0;0;0;;;0;0;0;0;;0;0;0;0;0;;;0;;0;;0;;0;0;0;0;;0;0;0;;;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;;;0;0;0;0;;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;0;0;;0;0;0;;0;0;0;;;0;0;;0
American Samoa;0;0;0;;;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;;;;;0;1.07247436;0;;;;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;;0.103569947;0;0;;;0;0;0;0;;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;;;1.072278857;;;0;0;0;0;0;0;;;0;0;0;0;;0;0;0;0;0;;;0;;0;;0;;0;0;0;0;;0;0;0;;;0.360513836;0;0;0;;0;0;0;;0;0;0;0;2.688863516;0;0;;;0;0;0;15.02739143;;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1.425852776;0;0;0;;;;0;0;;0;7.659734249;0;;0;0;0.582320273;;;0;0;;29.99299925
Andorra;0;0;0;;;0;0;0.125804946;0;;0.214335755;0;0;;;0;0;0;7.246483803;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;;;;;0.000384973;0;0;;;;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;;0;0;64.28287506;;;0;0;1.842204452;0;;0;;0;;0;0;0;0;0;0;0;0;0;0.716748297;0;0;0;0;;0;0.429446846;0;0;0;0;0;;;0;;;0;0;0;0;0;0;;;0;0;0;0;;0;0;0;0;0;;;0;;0;;0;;0;0;0.983016014;0;;0;0;0.58179456;;;0;0;0;0;;0;0;0;;0;0;0;0;1.4664464;0;15.08279991;;;0;0;0;0;;0;0;0;0;0;0;;0;0;0;;0;253.3378448;0;0;0;0;0;0;0;0.15690583;0.76790309;0;0;0;0;;0;0;0;0;0;;;;0;0;;2.234081984;0.219921201;0.026468633;;0;0;0;;;0;0;;349.7154666
Angola;0;0;0;;;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;9.085158348;;;;;0;0;0;;;;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;;0;0;0;;;0;0;0;0;;0;;0;;0;0.073117249;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;;;0;;;0;0;0;0;0;0;;;0;0;0;0;;0;0;0;0;0;;;0;;0;;0;;0;0;0;0;;0;0;0;;;0;0;0;0;;0;0;0;;0;0;0;0;0;0;32.84597015;;;0;0;0;0;;1.597259521;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;0;0;;0;0;0;;0;0;0;;;0;0.089244254;;43.69074953
Antigua and Barbuda;0;0;0;;;0;0;0;0;;0.019350786;0;0;;;0;0.163397998;0;0;0.013340527;0;;0;0;0;0;0;;0;0;0;0;0;;0;;;;;0;0.061103422;0;;;;0;0;0;;0;0;0.099481918;0;1.192237616;3.873492241;0;0.187929347;0;;;0;0.051330868;;0;0.0544152;0.61866039;;;0;0;0.034069061;0.004454827;;0;;0.108099207;;0.015895599;0;0;3.37710619;0.02981171;0.021643497;0;0;0;0.323742002;0;0;0;0;;0;0.025193341;5.218228817;0.080048442;0;0;0;;;0;;;0;0;0;0.073576607;0;0;;;0;0;0;0;;0;0;0;0;0;;;0;;0.061298881;;0;;0;0;0;0;;0;0;0.01100543;;;0.012162045;0;0;0.627118468;;0.076519199;0;0;;0;0;0;0;0;0;0;;;0;0;0;0;;0;0;0;0;0;0;;0;0;0;;0.125242561;0.012866028;0;0.429223388;0.352267444;0.535321414;0;0.000229643;0;0.081907757;0;0.045354303;0;0;0;;0;0;0.131771028;0;0;;;;0;0;;1.302067518;3.630166054;0;;0;0.006956136;0;;;0;0;;23.08808691
Argentina;0;0;0;;;0;0;0;0.075174995;;0;0;0.12561056;;;0;0;0.050882913;0;0;0;;0;300.9914246;0.67849803;0;108.2655487;;0;0;0;0;0;;0;;;;;0.955573678;24.63620758;0;;;;0;0;1.011611581;;0;0;0;0;0;0;0;0;0;;;0.046735231;0;;0;0;68.9076767;;;0;0.073259093;37.65873337;0;;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;416.0203857;0;15.61022663;0;0.009630777;0;;;39.79327393;;;0.191689745;0;0.090257742;15.80111027;0;0;;;0.155408472;0;0;0.195575953;;0;0;0;0;0;;;0;;0;;0.134205714;;0;0;0;0;;0;0;0;;;0;0;0;0;;0;0;0;;0;0;511.7149048;194.6930542;0;26.59295082;0;;;0;0.93083334;0;0;;0;0;0;0;0;0;;0;1.02955246;0;;0;922.4239502;0;0;0;0;0;0;0;0;0;4.696142197;0.382105649;0;0;;0;0;0;0;0;;;;0;0.677540302;;0;0;29.61367989;;0;0;0;;;0;0;;2724.233416
Armenia;0;0;0;;;0;0;0;0;;0;0;189.7885132;;;0;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;;;;;0;0;0;;;;0;0;0;;0;0;0;0;0;0;0;0;0;;;0;0;;0;0;0;;;0;63.78042603;4.768686295;0;;1.643187165;;0;;0;0;0;0;0;0;0;0;0;0;0;15.81870174;0;0;;0;0;0;0;0;0.060229402;0;;;0;;;0;0;0;21.35487175;0;0;;;0;0;0;0;;0;0;0;0;0;;;0;;0;;0;;0;0;0;0;;0;0;0;;;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;;;0;15.28362083;0;0;;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;10.81709385;0;0;0;;0;0;0;0;0.734766722;;;;0;4.115345478;;0;0;0;;0;0;0;;;0;0;;328.1654424
Aruba;0;0;0;;;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;;;;;0;0;19.5248394;;;;0;0;0;;0;0;0;0;0.011624526;11.55265236;0;0;0;;;0;0;;0;0;0;;;0;0;0;0;;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;;;0;;;0;0;0;0;0;0;;;0;0;0;0;;0;0;0;0;0;;;0;;0;;0;;0;0;0;0;;0;0;0;;;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0.303185493;;;0;0;0;0;;0;0;0;0;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;0;0;;0;2.366243601;0;;0;1.082423568;0;;;0;0;;34.84096895
